n,time_microseconds
100,0
100100,0
200100,0
300100,0
400100,0
500100,0
600100,0
700100,0
800100,0
900100,0
1000100,0
1100100,0
1200100,0
1300100,0
1400100,0
1500100,0
1600100,0
1700100,0
1800100,0
1900100,0
2000100,0
2100100,0
2200100,0
2300100,0
2400100,0
2500100,0
2600100,0
2700100,0
2800100,0
2900100,0
3000100,0
3100100,0
3200100,0
3300100,0
3400100,0
3500100,0
3600100,0
3700100,0
3800100,0
3900100,0
4000100,0
4100100,0
4200100,0
4300100,0
4400100,0
4500100,0
4600100,0
4700100,0
4800100,0
4900100,0
5000100,0
5100100,0
5200100,0
5300100,0
5400100,0
5500100,0
5600100,0
5700100,0
5800100,0
5900100,0
6000100,0
6100100,0
6200100,0
6300100,0
6400100,0
6500100,0
6600100,0
6700100,0
6800100,0
6900100,0
7000100,0
7100100,0
7200100,2
7300100,0
7400100,0
7500100,0
7600100,0
7700100,0
7800100,0
7900100,0
8000100,0
8100100,0
8200100,0
8300100,0
8400100,0
8500100,0
8600100,0
8700100,0
8800100,0
8900100,0
9000100,0
9100100,0
9200100,0
9300100,0
9400100,0
9500100,0
9600100,0
9700100,0
9800100,0
9900100,0
