n,time_microseconds
100,0
10100,0
20100,1
30100,1
40100,1
50100,1
60100,1
70100,2
80100,2
90100,2
100100,2
110100,2
120100,2
130100,3
140100,2
150100,3
160100,2
170100,3
180100,3
190100,3
200100,3
210100,3
220100,3
230100,3
240100,3
250100,3
260100,3
270100,3
280100,3
290100,4
300100,4
310100,4
320100,4
330100,4
340100,4
350100,4
360100,4
370100,4
380100,4
390100,4
400100,4
410100,4
420100,4
430100,4
440100,5
450100,5
460100,5
470100,5
480100,5
490100,5
500100,5
510100,5
520100,5
530100,5
540100,5
550100,5
560100,5
570100,5
580100,5
590100,5
600100,5
610100,5
620100,5
630100,5
640100,5
650100,6
660100,6
670100,6
680100,6
690100,6
700100,7
710100,11
720100,7
730100,6
740100,6
750100,7
760100,6
770100,7
780100,6
790100,6
800100,7
810100,6
820100,6
830100,6
840100,6
850100,6
860100,6
870100,6
880100,6
890100,7
900100,7
910100,7
920100,7
930100,7
940100,7
950100,7
960100,7
970100,7
980100,7
990100,7
